,Rok,Wyroby spirytusowe (100% alkoholu),Wino i miody pitne,Wino i miody pitne w przeliczeniu na 100% alkohol,Piwo,Piwo w przeliczeniu na 100% alkohol
0,1992,3.5,7.6,0.91,38.6,2.12
1,1993,3.8,7.5,0.9,33.0,1.82
2,1994,3.8,6.9,0.83,36.4,2.0
3,1995,3.5,6.8,0.82,39.0,2.15
4,1996,2.9,10.3,1.24,42.8,2.35
5,1997,2.8,12.8,1.54,49.8,2.74
6,1998,2.4,13.7,1.64,54.1,2.98
7,1999,2.1,13.6,1.63,60.1,3.31
8,2000,2.0,12.0,1.44,66.9,3.68
9,2001,1.7,10.6,1.27,66.5,3.66
10,2002,1.7,11.2,1.34,70.7,3.89
11,2003,2.4,11.3,1.36,74.8,4.1
12,2004,2.5,10.6,1.27,82.0,4.51
13,2005,2.5,8.6,1.03,80.7,4.44
14,2006,2.7,9.1,1.09,90.8,5.0
15,2007,3.0,8.9,1.07,93.4,5.14
16,2008,3.4,8.2,0.98,94.4,5.19
17,2009,3.2,7.0,0.84,91.2,5.02
18,2010,3.2,7.0,0.84,90.5,4.98
19,2011,3.3,6.4,0.77,94.3,5.19
20,2012,3.0,5.9,0.71,99.2,5.46
21,2013,3.6,5.8,0.67,97.7,5.37
22,2014,3.2,6.3,0.76,98.9,5.44
23,2015,3.2,6.3,0.76,99.1,5.45
24,2016,3.2,5.8,0.7,99.5,5.47
25,2017,3.3,6.1,0.73,98.5,5.42
26,2018,3.3,6.0,0.72,100.5,5.53
27,2019,3.7,6.2,0.74,97.1,5.34
28,2020,3.7,6.5,0.77,94.0,5.17
29,2021,3.8,6.7,0.8,93.2,5.13
30,2022,3.5,6.3,0.76,92.9,5.11
31,2023,3.4,6.8,0.72,87.4,4.81
