State,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Tot Cases/1M_pop,Deaths/_1M_pop,Total_Tests,Tests/_1M_pop,Population
USA Total,111820082,,1219487,,109814428,786167,337912,3685,1186851502,3586574,
California,12711918,,112443,,12579483,19992,321721,2846,202799362,5132573,39512223
Texas,9190299,,104793,,9071380,14126,316952,3614,73904384,2548789,28995881
Florida,8048191,,95206,,7937032,15953,374722,4433,66800091,3110202,21477737
New York,7587861,,83374,,7498921,5566,390050,4286,131503719,6759879,19453561
Illinois,4136659,,42005,,4094654,0,326446,3315,57898053,4569040,12671821
Ohio,3741277,,43896,,3684603,12778,320065,3755,24766997,2118811,11689100
Pennsylvania,3565499,,51480,,N/A,N/A,278511,4021,30962562,2418574,12801989
North Carolina,3501404,,29059,,N/A,N/A,333846,2771,26656056,2541556,10488084
Michigan,3306221,,44762,,3253388,8071,331057,4482,28943982,2898207,9986857
New Jersey,3295020,,36873,,3238767,19380,370969,4151,32419102,3649900,8882190
Georgia,3287483,,44069,,3233141,10273,309631,4151,28915980,2723446,10617423
Tennessee,2729641,,30729,,2696520,2392,399703,4500,15386808,2253099,6829174
Arizona,2607545,,34402,,2568992,4151,358242,4726,22489035,3089698,7278717
Massachusetts,2367542,,25586,,2340391,1565,343495,3712,50471373,7322648,6892503
Virginia,2315784,,23748,,2289616,2420,271311,2782,19172533,2246206,8535519
Indiana,2208419,,28018,,N/A,N/A,328037,4162,21512168,3195405,6732219
Washington,2070848,,17339,,2049813,3696,271947,2277,18887049,2480278,7614893
Wisconsin,2043838,,16758,,2020642,6438,351028,2878,19643258,3373719,5822434
Minnesota,1900794,,16458,,1883431,905,337042,2918,24412112,4328671,5639632
Colorado,1874746,,15552,,1853711,5483,325548,2701,21396759,3715530,5758736
South Carolina,1857853,,20311,,1827064,10478,360838,3945,18979097,3686182,5148714
Kentucky,1808735,,19183,,1752972,36580,404849,4294,13675281,3060940,4467673
Missouri,1780715,,22778,,1757937,0,290140,3711,14632189,2384091,6137428
Louisiana,1684058,,19270,,1662287,2501,362257,4145,19041552,4096020,4648794
Alabama,1659936,,21138,,1623935,14863,338542,4311,9332317,1903317,4903185
Maryland,1451442,,17929,,1429776,3737,240079,2966,25094995,4150897,6045680
Oklahoma,1306350,,16157,,1288527,1666,330139,4083,5473577,1383274,3956971
Utah,1137615,,5719,,1131183,713,354844,1784,9406861,2934181,3205958
Arkansas,1062606,,13246,,1048521,839,352112,4389,8036831,2663139,3017804
Iowa,1058274,,10797,,1031729,15748,335420,3422,8492575,2691723,3155070
Mississippi,1000415,,13474,,984056,2885,336144,4527,7063623,2373410,2976149
Oregon,992925,,9764,,982773,388,235417,2315,12508506,2965691,4217737
Connecticut,983652,,12354,,969400,1898,275897,3465,16773196,4704585,3565287
Kansas,946564,,10229,,934730,1605,324910,3511,6215342,2133427,2913314
Nevada,923059,,12485,,908273,2301,299679,4053,6875532,2232203,3080156
New Mexico,725653,,9623,,N/A,N/A,346072,4589,8610078,4106238,2096829
West Virginia,703856,,8247,,689426,6183,392745,4602,7291246,4068442,1792147
Nebraska,574399,,5063,,566979,2357,296938,2617,5506012,2846355,1934408
Idaho,525825,,5482,,517984,2359,294239,3068,3301678,1847542,1787065
Rhode Island,443803,,4166,,439178,459,418935,3933,8808359,8314785,1059361
Hawaii,418369,,2167,,414957,1245,295485,1531,4101166,2896566,1415872
New Hampshire,382013,,3329,,N/A,N/A,280952,2448,4845153,3563370,1359711
Delaware,350706,,3663,,346470,573,360155,3762,1026007,1053651,973764
Maine,346182,,3394,,341966,822,257535,2525,5956082,4430910,1344212
Montana,333758,,3712,,329725,321,312280,3473,2789012,2609534,1068778
North Dakota,309990,,2513,,307193,284,406778,3298,2462480,3231338,762062
Alaska,301513,,1485,,298902,1126,412159,2030,4790640,6548661,731545
South Dakota,282895,,3231,,N/A,N/A,319779,3652,2331003,2634917,884659
Wyoming,196126,,2126,,193878,122,338873,3673,1572010,2716174,578759
District Of Columbia,178747,,1434,,176928,385,253273,2032,3067883,4346989,705749
Vermont,155080,,1139,,153893,48,248530,1825,4184358,6705820,623989
Puerto Rico,1473460,,7326,,1460418,5716,435042,2163,4924965,1454104,3386941
Guam,61139,,420,,60681,38,,,603608,,
United States Virgin Islands,26148,,133,,26002,13,,,523929,,
Northern Mariana Islands,14341,,41,,N/A,N/A,,,141159,,
American Samoa,8359,,34,,N/A,N/A,,,16964,,
Veteran Affairs,958962,,26087,,931580,1295,,,8626902,,
US Military,742808,,689,,N/A,N/A,,,,,
Navajo Nation,89106,,2268,,N/A,N/A,,,698225,,
Federal Prisons,71485,,324,,N/A,N/A,,,129677,,
Grand Princess Ship,122,,7,,115,0,,,,,
Wuhan Repatriated,3,,,,3,0,,,3,,
Diamond Princess Ship,46,,,,46,0,,,46,,
